MxForce Drift   Pressure        TOTEN           Filename
3.3338  0.0128      1.39        -182.501883     OUTCAR
6.3605  0.0091     -1.14        -180.877996     OUTCAR
3.7686  0.0164     -1.27        -182.360031     OUTCAR
2.0961  0.0181     -0.93        -182.717357     OUTCAR
4.6793  0.0350     -0.39        -182.540720     OUTCAR
1.0126  0.0235     -0.79        -182.833636     OUTCAR
2.1651  0.0124     -0.90        -182.752758     OUTCAR
0.3844  0.0324     -0.77        -182.860408     OUTCAR
0.9483  0.0347     -0.62        -182.841782     OUTCAR
0.2482  0.0379     -0.67        -182.868772     OUTCAR
0.5615  0.0346     -0.64        -182.861355     OUTCAR
0.2656  0.0349     -0.69        -182.872431     OUTCAR
0.6908  0.0459     -0.49        -182.868663     OUTCAR
0.1265  0.0422     -0.61        -182.874930     OUTCAR
0.2513  0.0342     -0.62        -182.874630     OUTCAR
0.0823  0.0479     -0.57        -182.876603     OUTCAR
0.0847  0.0557     -0.56        -182.877172     OUTCAR
0.2690  0.0482     -0.59        -182.877155     OUTCAR
0.0740  0.0421     -0.55        -182.878190     OUTCAR
0.0984  0.0536     -0.55        -182.878750     OUTCAR
0.0618  0.0540     -0.54        -182.879072     OUTCAR
0.0643  0.0583     -0.53        -182.879543     OUTCAR
0.0579  0.0524     -0.53        -182.879756     OUTCAR
0.0475  0.0524     -0.52        -182.880168     OUTCAR
0.0533  0.0488     -0.52        -182.880304     OUTCAR
0.0475  0.0491     -0.50        -182.880689     OUTCAR
0.0458  0.0498     -0.50        -182.880696     OUTCAR
0.0440  0.0525     -0.50        -182.880962     OUTCAR
0.0389  0.0493     -0.49        -182.881061     OUTCAR
