MxForce	Drift	Pressure	TOTEN   	Filename
3.1590	0.0551	   -9.83	-183.124011	300/OUTCAR
3.3195	0.1055	   -2.83	-182.830540	350/OUTCAR
3.3444	0.0136	    0.22	-182.614014	400/OUTCAR
3.3336	0.0125	    1.39	-182.502132	450/OUTCAR
3.3159	0.1564	    1.71	-182.455218	500/OUTCAR
3.3162	0.0059	    1.67	-182.482638	550/OUTCAR
3.3135	0.0074	    1.60	-182.521546	600/OUTCAR
3.3117	0.0241	    1.54	-182.565222	650/OUTCAR
3.3122	0.0110	    1.56	-182.602260	700/OUTCAR
3.3151	0.0455	    1.61	-182.631283	750/OUTCAR
3.3113	0.0615	    1.64	-182.648665	800/OUTCAR
3.3123	0.0206	    1.67	-182.654639	850/OUTCAR
3.3097	0.0516	    1.69	-182.658060	900/OUTCAR
